message,attributes,tags,timestamp
Starting Container,"{""level"":""info""}","{""project"":""d4aae26b-9fab-4baa-93f4-1b393c6d7c8a"",""environment"":""6d4d10f8-ef6e-4a33-ba9c-6a725e4554a8"",""service"":""51cba4c8-134f-4e77-9ac9-02d403d57a06"",""deployment"":""21ac7a1d-e3b2-439c-8818-0eb1b69b56b4"",""replica"":""deff1601-8d89-4c9a-aef7-3a613d23deec""}",2026-01-10T19:32:31.000000000Z
npm warn config production Use `--omit=dev` instead.,"{""level"":""error""}","{""project"":""d4aae26b-9fab-4baa-93f4-1b393c6d7c8a"",""environment"":""6d4d10f8-ef6e-4a33-ba9c-6a725e4554a8"",""service"":""51cba4c8-134f-4e77-9ac9-02d403d57a06"",""deployment"":""21ac7a1d-e3b2-439c-8818-0eb1b69b56b4"",""replica"":""deff1601-8d89-4c9a-aef7-3a613d23deec""}",2026-01-10T19:32:32.372656750Z
,"{""level"":""info""}","{""project"":""d4aae26b-9fab-4baa-93f4-1b393c6d7c8a"",""environment"":""6d4d10f8-ef6e-4a33-ba9c-6a725e4554a8"",""service"":""51cba4c8-134f-4e77-9ac9-02d403d57a06"",""deployment"":""21ac7a1d-e3b2-439c-8818-0eb1b69b56b4"",""replica"":""deff1601-8d89-4c9a-aef7-3a613d23deec""}",2026-01-10T19:32:32.372664783Z
> swiss-doubles-tournament@0.1.0 start,"{""level"":""info""}","{""project"":""d4aae26b-9fab-4baa-93f4-1b393c6d7c8a"",""environment"":""6d4d10f8-ef6e-4a33-ba9c-6a725e4554a8"",""service"":""51cba4c8-134f-4e77-9ac9-02d403d57a06"",""deployment"":""21ac7a1d-e3b2-439c-8818-0eb1b69b56b4"",""replica"":""deff1601-8d89-4c9a-aef7-3a613d23deec""}",2026-01-10T19:32:32.372672845Z
> NODE_ENV=production node dist-server/server/index.js,"{""level"":""info""}","{""project"":""d4aae26b-9fab-4baa-93f4-1b393c6d7c8a"",""environment"":""6d4d10f8-ef6e-4a33-ba9c-6a725e4554a8"",""service"":""51cba4c8-134f-4e77-9ac9-02d403d57a06"",""deployment"":""21ac7a1d-e3b2-439c-8818-0eb1b69b56b4"",""replica"":""deff1601-8d89-4c9a-aef7-3a613d23deec""}",2026-01-10T19:32:32.372680786Z
,"{""level"":""info""}","{""project"":""d4aae26b-9fab-4baa-93f4-1b393c6d7c8a"",""environment"":""6d4d10f8-ef6e-4a33-ba9c-6a725e4554a8"",""service"":""51cba4c8-134f-4e77-9ac9-02d403d57a06"",""deployment"":""21ac7a1d-e3b2-439c-8818-0eb1b69b56b4"",""replica"":""deff1601-8d89-4c9a-aef7-3a613d23deec""}",2026-01-10T19:32:32.372688631Z
📁 Database path: /data/tournaments.db,"{""level"":""info""}","{""project"":""d4aae26b-9fab-4baa-93f4-1b393c6d7c8a"",""environment"":""6d4d10f8-ef6e-4a33-ba9c-6a725e4554a8"",""service"":""51cba4c8-134f-4e77-9ac9-02d403d57a06"",""deployment"":""21ac7a1d-e3b2-439c-8818-0eb1b69b56b4"",""replica"":""deff1601-8d89-4c9a-aef7-3a613d23deec""}",2026-01-10T19:32:32.372696619Z
📁 Creating directory: /data,"{""level"":""info""}","{""project"":""d4aae26b-9fab-4baa-93f4-1b393c6d7c8a"",""environment"":""6d4d10f8-ef6e-4a33-ba9c-6a725e4554a8"",""service"":""51cba4c8-134f-4e77-9ac9-02d403d57a06"",""deployment"":""21ac7a1d-e3b2-439c-8818-0eb1b69b56b4"",""replica"":""deff1601-8d89-4c9a-aef7-3a613d23deec""}",2026-01-10T19:32:32.372704631Z
✅ Database initialized,"{""level"":""info""}","{""project"":""d4aae26b-9fab-4baa-93f4-1b393c6d7c8a"",""environment"":""6d4d10f8-ef6e-4a33-ba9c-6a725e4554a8"",""service"":""51cba4c8-134f-4e77-9ac9-02d403d57a06"",""deployment"":""21ac7a1d-e3b2-439c-8818-0eb1b69b56b4"",""replica"":""deff1601-8d89-4c9a-aef7-3a613d23deec""}",2026-01-10T19:32:32.372713381Z
🕐 Starting cleanup schedule (runs every hour),"{""level"":""info""}","{""project"":""d4aae26b-9fab-4baa-93f4-1b393c6d7c8a"",""environment"":""6d4d10f8-ef6e-4a33-ba9c-6a725e4554a8"",""service"":""51cba4c8-134f-4e77-9ac9-02d403d57a06"",""deployment"":""21ac7a1d-e3b2-439c-8818-0eb1b69b56b4"",""replica"":""deff1601-8d89-4c9a-aef7-3a613d23deec""}",2026-01-10T19:32:32.372722771Z
